exp,Ki,u,t,i
0,0.0002,5.0,1.6689300537109375e-06,0.33
0,0.0002,5.0,0.006865262985229492,0.06
0,0.0002,5.0,0.010926485061645508,0.17
0,0.0002,5.0,0.014932870864868164,0.17
0,0.0002,5.0,0.018980979919433594,0.0
0,0.0002,5.0,0.023171424865722656,0.18
0,0.0002,5.0,0.027185916900634766,0.27
0,0.0002,5.0,0.030886173248291016,0.28
0,0.0002,5.0,0.034815073013305664,0.22
0,0.0002,5.0,0.03891110420227051,0.17
0,0.0002,5.0,0.04296684265136719,0.13
0,0.0002,5.0,0.04711651802062988,0.18
0,0.0002,5.0,0.05111217498779297,0.21
0,0.0002,5.0,0.05566048622131348,0.25
0,0.0002,5.0,0.06024980545043945,0.19
0,0.0002,5.0,0.0645601749420166,0.05
0,0.0002,5.0,0.06958556175231934,0.26
0,0.0002,5.0,0.07320475578308105,0.14
0,0.0002,5.0,0.07721972465515137,0.07
0,0.0002,5.0,0.0810246467590332,0.15
0,0.0002,5.0,0.0850362777709961,0.0
0,0.0002,5.0,0.08906745910644531,0.11
0,0.0002,5.0,0.09363102912902832,0.11
0,0.0002,5.0,0.09847497940063477,0.09
0,0.0002,5.0,0.10261106491088867,0.15
0,0.0002,5.0,0.10757946968078613,0.16
0,0.0002,5.0,0.11108136177062988,0.28
0,0.0002,5.0,0.11513996124267578,0.12
0,0.0002,5.0,0.11904048919677734,-0.02
0,0.0002,5.0,0.12307906150817871,0.06
0,0.0002,5.0,0.12732696533203125,0.36
0,0.0002,5.0,0.13080358505249023,0.21
0,0.0002,5.0,0.13488173484802246,0.01
0,0.0002,5.0,0.13904213905334473,0.27
0,0.0002,5.0,0.14323854446411133,0.16
0,0.0002,5.0,0.14725494384765625,0.11
0,0.0002,5.0,0.15123414993286133,0.26
0,0.0002,5.0,0.1553184986114502,0.08
0,0.0002,5.0,0.15968704223632812,0.18
0,0.0002,5.0,0.16417288780212402,0.19
0,0.0002,5.0,0.16860365867614746,0.11
0,0.0002,5.0,0.17211604118347168,0.24
0,0.0002,5.0,0.17653989791870117,0.03
0,0.0002,5.0,0.1803896427154541,0.08
0,0.0002,5.0,0.18455123901367188,0.17
0,0.0002,5.0,0.1880662441253662,0.17
0,0.0002,5.0,0.19254732131958008,0.08
0,0.0002,5.0,0.19609379768371582,0.05
0,0.0002,5.0,0.20019102096557617,0.09
0,0.0002,5.0,0.20404911041259766,0.09
0,0.0002,5.0,0.2085862159729004,0.04
0,0.0002,5.0,0.21213579177856445,0.16
0,0.0002,5.0,0.2165517807006836,0.13
0,0.0002,5.0,0.2205524444580078,0.11
0,0.0002,5.0,0.2239975929260254,0.15
0,0.0002,5.0,0.22797274589538574,0.27
0,0.0002,5.0,0.23178315162658691,0.14
0,0.0002,5.0,0.23594975471496582,0.14
0,0.0002,5.0,0.24002814292907715,0.04
0,0.0002,5.0,0.2442328929901123,0.14
0,0.0002,5.0,0.24826383590698242,0.12
0,0.0002,5.0,0.2522463798522949,0.12
0,0.0002,5.0,0.25615382194519043,0.1
0,0.0002,5.0,0.260242223739624,0.07
0,0.0002,5.0,0.2645704746246338,0.22
0,0.0002,5.0,0.26892852783203125,0.18
0,0.0002,5.0,0.27298545837402344,0.11
0,0.0002,5.0,0.27703285217285156,0.29
0,0.0002,5.0,0.2810170650482178,0.18
0,0.0002,5.0,0.2850186824798584,0.19
0,0.0002,5.0,0.2890491485595703,0.18
0,0.0002,5.0,0.29302549362182617,0.12
0,0.0002,5.0,0.29705190658569336,0.13
0,0.0002,5.0,0.3011202812194824,0.05
0,0.0002,5.0,0.3054213523864746,0.04
0,0.0002,5.0,0.3095545768737793,0.08
0,0.0002,5.0,0.3144795894622803,0.02
0,0.0002,5.0,0.3184819221496582,0.18
0,0.0002,5.0,0.3224923610687256,0.12
0,0.0002,5.0,0.32607316970825195,0.0
0,0.0002,5.0,0.3299753665924072,0.14
0,0.0002,5.0,0.33385658264160156,0.08
0,0.0002,5.0,0.33800554275512695,0.29
0,0.0002,5.0,0.3420448303222656,0.15
0,0.0002,5.0,0.3461034297943115,0.07
0,0.0002,5.0,0.3501451015472412,0.1
0,0.0002,5.0,0.35418081283569336,0.0
0,0.0002,5.0,0.35813355445861816,0.03
0,0.0002,5.0,0.36220622062683105,0.07
0,0.0002,5.0,0.3665492534637451,0.05
0,0.0002,5.0,0.36997151374816895,0.15
0,0.0002,5.0,0.37450575828552246,0.03
0,0.0002,5.0,0.37848401069641113,0.16
0,0.0002,5.0,0.38242483139038086,0.06
0,0.0002,5.0,0.3864932060241699,0.12
0,0.0002,5.0,0.39046740531921387,0.27
0,0.0002,5.0,0.3944840431213379,0.18
0,0.0002,5.0,0.3980433940887451,-0.04
0,0.0002,5.0,0.4024989604949951,0.06
0,0.0002,5.0,0.4059107303619385,0.16
0,0.0002,5.0,0.4098827838897705,0.0
0,0.0002,5.0,0.41388416290283203,0.09
0,0.0002,5.0,0.41785311698913574,0.05
0,0.0002,5.0,0.4219808578491211,0.17
0,0.0002,5.0,0.4258391857147217,0.1
0,0.0002,5.0,0.42978596687316895,0.04
0,0.0002,5.0,0.433837890625,0.07
0,0.0002,5.0,0.4378831386566162,0.07
0,0.0002,5.0,0.44190406799316406,0.07
0,0.0002,5.0,0.4461054801940918,0.17
0,0.0002,5.0,0.44999217987060547,0.2
0,0.0002,5.0,0.4540228843688965,-0.06
0,0.0002,5.0,0.4580240249633789,0.18
0,0.0002,5.0,0.4623863697052002,0.31
0,0.0002,5.0,0.46640634536743164,0.17
0,0.0002,5.0,0.47040557861328125,0.04
0,0.0002,5.0,0.47428464889526367,0.16
0,0.0002,5.0,0.4783589839935303,0.04
0,0.0002,5.0,0.4819672107696533,0.31
0,0.0002,5.0,0.48610591888427734,0.08
0,0.0002,5.0,0.49027252197265625,0.17
0,0.0002,5.0,0.49396586418151855,0.06
0,0.0002,5.0,0.49805402755737305,0.0
0,0.0002,5.0,0.5023729801177979,0.13
0,0.0002,5.0,0.5064072608947754,0.06
0,0.0002,5.0,0.5101699829101562,0.06
0,0.0002,5.0,0.5145792961120605,0.14
0,0.0002,5.0,0.5191092491149902,0.12
0,0.0002,5.0,0.5234599113464355,0.0
0,0.0002,5.0,0.5269601345062256,-0.08
0,0.0002,5.0,0.5311093330383301,0.07
0,0.0002,5.0,0.5348255634307861,0.21
0,0.0002,5.0,0.5389111042022705,0.09
0,0.0002,5.0,0.5429627895355225,0.17
0,0.0002,5.0,0.5470075607299805,0.07
0,0.0002,5.0,0.5512430667877197,0.06
0,0.0002,5.0,0.5551204681396484,0.06
0,0.0002,5.0,0.5591049194335938,0.19
0,0.0002,5.0,0.563082218170166,0.13
0,0.0002,5.0,0.567213773727417,0.24
0,0.0002,5.0,0.5709984302520752,0.21
0,0.0002,5.0,0.5750422477722168,0.14
0,0.0002,5.0,0.5790469646453857,0.07
0,0.0002,5.0,0.5829620361328125,0.14
0,0.0002,5.0,0.5870552062988281,0.12
0,0.0002,5.0,0.5910696983337402,0.04
0,0.0002,5.0,0.5951864719390869,0.04
0,0.0002,5.0,0.599252462387085,0.2
0,0.0002,5.0,0.6034655570983887,0.0
0,0.0002,5.0,0.6074559688568115,0.14
0,0.0002,5.0,0.611238956451416,0.33
0,0.0002,5.0,0.615436315536499,0.17
0,0.0002,5.0,0.6191744804382324,0.19
0,0.0002,5.0,0.6231305599212646,-0.01
0,0.0002,5.0,0.6271204948425293,0.19
0,0.0002,5.0,0.6311559677124023,0.04
0,0.0002,5.0,0.6349301338195801,0.02
0,0.0002,5.0,0.6382341384887695,0.12
0,0.0002,5.0,0.6419296264648438,0.03
0,0.0002,5.0,0.6460177898406982,0.1
0,0.0002,5.0,0.6500396728515625,0.12
0,0.0002,5.0,0.654038667678833,0.17
0,0.0002,5.0,0.6579704284667969,0.0
0,0.0002,5.0,0.6621248722076416,0.0
0,0.0002,5.0,0.6664390563964844,0.08
0,0.0002,5.0,0.6704368591308594,0.08
0,0.0002,5.0,0.6744651794433594,-0.06
0,0.0002,5.0,0.6784670352935791,0.03
0,0.0002,5.0,0.6820054054260254,0.04
0,0.0002,5.0,0.6859924793243408,0.04
0,0.0002,5.0,0.6900160312652588,0.1
0,0.0002,5.0,0.6945164203643799,0.01
0,0.0002,5.0,0.6991498470306396,0.14
0,0.0002,5.0,0.7034182548522949,0.01
0,0.0002,5.0,0.7071020603179932,0.07
0,0.0002,5.0,0.7109298706054688,0.08
0,0.0002,5.0,0.7148518562316895,0.11
0,0.0002,5.0,0.7188727855682373,0.02
0,0.0002,5.0,0.7228684425354004,0.06
0,0.0002,5.0,0.7268929481506348,0.15
0,0.0002,5.0,0.7309694290161133,0.24
0,0.0002,5.0,0.7348988056182861,0.1
0,0.0002,5.0,0.7388670444488525,0.0
0,0.0002,5.0,0.7429780960083008,0.2
0,0.0002,5.0,0.7469356060028076,0.14
0,0.0002,5.0,0.7509698867797852,0.04
0,0.0002,5.0,0.755007266998291,0.02
0,0.0002,5.0,0.7596211433410645,0.04
0,0.0002,5.0,0.7640960216522217,0.03
0,0.0002,5.0,0.7685089111328125,-0.05
0,0.0002,5.0,0.7724957466125488,0.03
0,0.0002,5.0,0.7765123844146729,0.03
0,0.0002,5.0,0.7799947261810303,0.05
0,0.0002,5.0,0.7839493751525879,0.15
0,0.0002,5.0,0.7885215282440186,0.06
0,0.0002,5.0,0.7920780181884766,0.01
0,0.0002,5.0,0.7960243225097656,0.02
0,0.0002,5.0,0.8004767894744873,0.05
0,0.0002,5.0,0.8041045665740967,0.2
0,0.0002,5.0,0.8085036277770996,0.04
0,0.0002,5.0,0.8124761581420898,0.32
0,0.0002,5.0,0.8160934448242188,0.28
0,0.0002,5.0,0.8199691772460938,0.07
0,0.0002,5.0,0.8243470191955566,0.28
0,0.0002,5.0,0.8281476497650146,0.15
0,0.0002,5.0,0.8319590091705322,0.17
0,0.0002,5.0,0.8358395099639893,0.14
0,0.0002,5.0,0.8399300575256348,0.08
0,0.0002,5.0,0.8440032005310059,0.1
0,0.0002,5.0,0.8481721878051758,0.17
0,0.0002,5.0,0.852180004119873,0.0
0,0.0002,5.0,0.8567445278167725,0.13
0,0.0002,5.0,0.8611617088317871,0.14
0,0.0002,5.0,0.865217924118042,0.15
0,0.0002,5.0,0.8693993091583252,0.01
0,0.0002,5.0,0.8735437393188477,-0.02
0,0.0002,5.0,0.8771224021911621,0.07
0,0.0002,5.0,0.8809640407562256,-0.03
0,0.0002,5.0,0.8855688571929932,0.06
0,0.0002,5.0,0.8904943466186523,0.01
0,0.0002,5.0,0.894068717956543,0.05
0,0.0002,5.0,0.898240327835083,-0.02
0,0.0002,5.0,0.9025552272796631,-0.03
0,0.0002,5.0,0.9074153900146484,0.07
0,0.0002,5.0,0.9110417366027832,0.16
0,0.0002,5.0,0.9155261516571045,0.02
0,0.0002,5.0,0.919090986251831,0.06
0,0.0002,5.0,0.9230508804321289,0.18
0,0.0002,5.0,0.9270377159118652,0.04
0,0.0002,5.0,0.9310147762298584,0.22
0,0.0002,5.0,0.9348618984222412,0.04
0,0.0002,5.0,0.9389495849609375,0.07
0,0.0002,5.0,0.9429700374603271,0.23
0,0.0002,5.0,0.9471051692962646,-0.03
0,0.0002,5.0,0.9512801170349121,0.21
