exp,Kp,u,t,i
0,1.0,5.0,7.152557373046875e-07,3.84
0,1.0,5.0,0.006725788116455078,3.33
0,1.0,5.0,0.009711265563964844,3.93
0,1.0,5.0,0.012859106063842773,4.79
0,1.0,5.0,0.016875505447387695,4.5600000000000005
0,1.0,5.0,0.020885705947875977,4.64
0,1.0,5.0,0.024916410446166992,4.65
0,1.0,5.0,0.028918027877807617,4.58
0,1.0,5.0,0.03301119804382324,4.51
0,1.0,5.0,0.03713035583496094,4.59
0,1.0,5.0,0.04110407829284668,4.59
0,1.0,5.0,0.04511141777038574,4.63
0,1.0,5.0,0.049106597900390625,4.61
0,1.0,5.0,0.05331826210021973,4.57
0,1.0,5.0,0.05765104293823242,4.63
0,1.0,5.0,0.061567068099975586,4.62
0,1.0,5.0,0.06540632247924805,4.59
0,1.0,5.0,0.06895184516906738,4.61
0,1.0,5.0,0.07291531562805176,4.53
0,1.0,5.0,0.07696008682250977,4.63
0,1.0,5.0,0.08116292953491211,4.62
0,1.0,5.0,0.08510470390319824,4.61
0,1.0,5.0,0.08914327621459961,4.58
0,1.0,5.0,0.09311556816101074,4.61
0,1.0,5.0,0.09732890129089355,4.61
0,1.0,5.0,0.10142898559570312,4.61
0,1.0,5.0,0.1056060791015625,4.62
0,1.0,5.0,0.10893678665161133,4.59
0,1.0,5.0,0.11305999755859375,4.61
0,1.0,5.0,0.11702251434326172,4.61
0,1.0,5.0,0.12091851234436035,4.59
0,1.0,5.0,0.12494277954101562,4.62
0,1.0,5.0,0.12900185585021973,4.63
0,1.0,5.0,0.13318920135498047,4.59
0,1.0,5.0,0.1372203826904297,4.57
0,1.0,5.0,0.14113283157348633,4.62
0,1.0,5.0,0.14509105682373047,4.58
0,1.0,5.0,0.14963960647583008,4.61
0,1.0,5.0,0.1536860466003418,4.61
0,1.0,5.0,0.15762066841125488,4.6000000000000005
0,1.0,5.0,0.16157865524291992,4.61
0,1.0,5.0,0.1654071807861328,4.59
0,1.0,5.0,0.1689896583557129,4.61
0,1.0,5.0,0.1736295223236084,4.62
0,1.0,5.0,0.17725682258605957,4.63
0,1.0,5.0,0.1815643310546875,4.63
0,1.0,5.0,0.1854696273803711,4.57
0,1.0,5.0,0.18960165977478027,4.61
0,1.0,5.0,0.19306659698486328,4.59
0,1.0,5.0,0.1974954605102539,4.62
0,1.0,5.0,0.20108270645141602,4.59
0,1.0,5.0,0.20557498931884766,4.63
0,1.0,5.0,0.20923972129821777,4.6000000000000005
0,1.0,5.0,0.21301603317260742,4.63
0,1.0,5.0,0.21703314781188965,4.6000000000000005
0,1.0,5.0,0.22090983390808105,4.62
0,1.0,5.0,0.22491979598999023,4.59
0,1.0,5.0,0.22899103164672852,4.6000000000000005
0,1.0,5.0,0.2331845760345459,4.58
0,1.0,5.0,0.23720908164978027,4.58
0,1.0,5.0,0.24106287956237793,4.61
0,1.0,5.0,0.24561667442321777,4.62
0,1.0,5.0,0.24932193756103516,4.61
0,1.0,5.0,0.25358033180236816,4.59
0,1.0,5.0,0.25760889053344727,4.62
0,1.0,5.0,0.2615773677825928,4.62
0,1.0,5.0,0.2650628089904785,4.62
0,1.0,5.0,0.26918482780456543,4.61
0,1.0,5.0,0.27366137504577637,4.62
0,1.0,5.0,0.27869367599487305,4.62
0,1.0,5.0,0.2832491397857666,4.59
0,1.0,5.0,0.28717923164367676,4.65
0,1.0,5.0,0.29114603996276855,4.65
0,1.0,5.0,0.2954223155975342,4.61
0,1.0,5.0,0.29909348487854004,4.61
0,1.0,5.0,0.30321574211120605,4.63
0,1.0,5.0,0.3072493076324463,4.6000000000000005
0,1.0,5.0,0.31154608726501465,4.61
0,1.0,5.0,0.31511688232421875,4.63
0,1.0,5.0,0.31905579566955566,4.6000000000000005
0,1.0,5.0,0.32296133041381836,4.59
0,1.0,5.0,0.32703280448913574,4.55
0,1.0,5.0,0.33113884925842285,4.58
0,1.0,5.0,0.3352320194244385,4.62
0,1.0,5.0,0.3391578197479248,4.63
0,1.0,5.0,0.3431267738342285,4.58
0,1.0,5.0,0.34710049629211426,4.62
0,1.0,5.0,0.35109710693359375,4.59
0,1.0,5.0,0.3553953170776367,4.6000000000000005
0,1.0,5.0,0.3592853546142578,4.63
0,1.0,5.0,0.36298370361328125,4.62
0,1.0,5.0,0.3668243885040283,4.5600000000000005
0,1.0,5.0,0.37091875076293945,4.6000000000000005
0,1.0,5.0,0.37498927116394043,4.59
0,1.0,5.0,0.3791697025299072,4.6000000000000005
0,1.0,5.0,0.38327741622924805,4.62
0,1.0,5.0,0.3875882625579834,4.6000000000000005
0,1.0,5.0,0.39101243019104004,4.58
0,1.0,5.0,0.3950173854827881,4.61
0,1.0,5.0,0.3991217613220215,4.61
0,1.0,5.0,0.4032893180847168,4.58
0,1.0,5.0,0.40763092041015625,4.58
0,1.0,5.0,0.41156959533691406,4.59
0,1.0,5.0,0.41493701934814453,4.61
0,1.0,5.0,0.41907382011413574,4.5600000000000005
0,1.0,5.0,0.4229764938354492,4.6000000000000005
0,1.0,5.0,0.4270193576812744,4.59
0,1.0,5.0,0.43094539642333984,4.6000000000000005
0,1.0,5.0,0.435122013092041,4.61
0,1.0,5.0,0.4390864372253418,4.6000000000000005
0,1.0,5.0,0.44298577308654785,4.58
0,1.0,5.0,0.44706249237060547,4.62
0,1.0,5.0,0.451033353805542,4.58
0,1.0,5.0,0.4550044536590576,4.63
0,1.0,5.0,0.4591038227081299,4.58
0,1.0,5.0,0.46303272247314453,4.58
0,1.0,5.0,0.4669814109802246,4.62
0,1.0,5.0,0.4710068702697754,4.61
0,1.0,5.0,0.4750852584838867,4.6000000000000005
0,1.0,5.0,0.4790196418762207,4.59
0,1.0,5.0,0.48323631286621094,4.62
0,1.0,5.0,0.4871540069580078,4.61
0,1.0,5.0,0.491544246673584,4.61
0,1.0,5.0,0.49548816680908203,4.62
0,1.0,5.0,0.49951839447021484,4.59
0,1.0,5.0,0.5030696392059326,4.6000000000000005
0,1.0,5.0,0.5070810317993164,4.65
0,1.0,5.0,0.5114588737487793,4.59
0,1.0,5.0,0.5150735378265381,4.64
0,1.0,5.0,0.5194540023803711,4.64
0,1.0,5.0,0.5230000019073486,4.5600000000000005
0,1.0,5.0,0.5268185138702393,4.59
0,1.0,5.0,0.5308904647827148,4.61
0,1.0,5.0,0.5349102020263672,4.59
0,1.0,5.0,0.538881778717041,4.62
0,1.0,5.0,0.5429577827453613,4.64
0,1.0,5.0,0.5469746589660645,4.58
0,1.0,5.0,0.5508613586425781,4.5600000000000005
0,1.0,5.0,0.5548267364501953,4.62
0,1.0,5.0,0.5588710308074951,4.61
0,1.0,5.0,0.5629243850708008,4.61
0,1.0,5.0,0.5669512748718262,4.61
0,1.0,5.0,0.5709214210510254,4.6000000000000005
0,1.0,5.0,0.5748322010040283,4.6000000000000005
0,1.0,5.0,0.5788211822509766,4.6000000000000005
0,1.0,5.0,0.5829503536224365,4.59
0,1.0,5.0,0.5870099067687988,4.59
0,1.0,5.0,0.5910134315490723,4.6000000000000005
0,1.0,5.0,0.5950534343719482,4.59
0,1.0,5.0,0.5989916324615479,4.6000000000000005
0,1.0,5.0,0.6030077934265137,4.61
0,1.0,5.0,0.6070411205291748,4.63
0,1.0,5.0,0.6115498542785645,4.59
0,1.0,5.0,0.615325927734375,4.62
0,1.0,5.0,0.6191670894622803,4.6000000000000005
0,1.0,5.0,0.6230199337005615,4.61
0,1.0,5.0,0.626819372177124,4.63
0,1.0,5.0,0.630868673324585,4.59
0,1.0,5.0,0.6350948810577393,4.59
0,1.0,5.0,0.6390366554260254,4.62
0,1.0,5.0,0.6431427001953125,4.6000000000000005
0,1.0,5.0,0.647108793258667,4.5600000000000005
0,1.0,5.0,0.6510989665985107,4.63
0,1.0,5.0,0.6552400588989258,4.6000000000000005
0,1.0,5.0,0.6592402458190918,4.59
0,1.0,5.0,0.6636526584625244,4.61
0,1.0,5.0,0.6685371398925781,4.61
0,1.0,5.0,0.6719017028808594,4.57
0,1.0,5.0,0.6762807369232178,4.6000000000000005
0,1.0,5.0,0.6802730560302734,4.61
0,1.0,5.0,0.6842844486236572,4.62
0,1.0,5.0,0.688572883605957,4.57
0,1.0,5.0,0.6925551891326904,4.63
0,1.0,5.0,0.6962089538574219,4.61
0,1.0,5.0,0.7005209922790527,4.5600000000000005
0,1.0,5.0,0.7039394378662109,4.62
0,1.0,5.0,0.7083358764648438,4.63
0,1.0,5.0,0.7124204635620117,4.61
0,1.0,5.0,0.7160992622375488,4.61
0,1.0,5.0,0.720512866973877,4.61
0,1.0,5.0,0.7240898609161377,4.58
0,1.0,5.0,0.7278594970703125,4.64
0,1.0,5.0,0.7318031787872314,4.58
0,1.0,5.0,0.7359616756439209,4.62
0,1.0,5.0,0.7400691509246826,4.63
0,1.0,5.0,0.7440335750579834,4.5600000000000005
0,1.0,5.0,0.7484722137451172,4.57
0,1.0,5.0,0.7525122165679932,4.64
0,1.0,5.0,0.7565150260925293,4.6000000000000005
0,1.0,5.0,0.7601823806762695,4.61
0,1.0,5.0,0.7644083499908447,4.57
0,1.0,5.0,0.7684047222137451,4.58
0,1.0,5.0,0.7724652290344238,4.63
0,1.0,5.0,0.7764682769775391,4.6000000000000005
0,1.0,5.0,0.7805178165435791,4.59
0,1.0,5.0,0.7844734191894531,4.6000000000000005
0,1.0,5.0,0.7880549430847168,4.59
0,1.0,5.0,0.7926406860351562,4.6000000000000005
0,1.0,5.0,0.7975809574127197,4.61
0,1.0,5.0,0.8015468120574951,4.61
0,1.0,5.0,0.8050074577331543,4.62
0,1.0,5.0,0.8088457584381104,4.63
0,1.0,5.0,0.8129124641418457,4.62
0,1.0,5.0,0.8171076774597168,4.61
