exp,Kp,u,t,i
0,1.0,5.0,2.6226043701171875e-06,0.13
0,1.0,5.0,0.008007049560546875,0.14
0,1.0,5.0,0.01199960708618164,0.01
0,1.0,5.0,0.016045570373535156,0.04
0,1.0,5.0,0.020099401473999023,-0.06
0,1.0,5.0,0.024182558059692383,0.02
0,1.0,5.0,0.028290748596191406,-0.06
0,1.0,5.0,0.03218364715576172,0.02
0,1.0,5.0,0.03652310371398926,-0.01
0,1.0,5.0,0.0401456356048584,0.13
0,1.0,5.0,0.04449892044067383,0.04
0,1.0,5.0,0.04847311973571777,0.0
0,1.0,5.0,0.05183982849121094,0.06
0,1.0,5.0,0.05584526062011719,-0.03
0,1.0,5.0,0.06020665168762207,0.02
0,1.0,5.0,0.06413745880126953,-0.05
0,1.0,5.0,0.06829237937927246,-0.04
0,1.0,5.0,0.07239913940429688,-0.09
0,1.0,5.0,0.07621073722839355,-0.03
0,1.0,5.0,0.08056306838989258,0.04
0,1.0,5.0,0.08550858497619629,0.14
0,1.0,5.0,0.08949112892150879,0.04
0,1.0,5.0,0.09302425384521484,-0.05
0,1.0,5.0,0.09741926193237305,0.0
0,1.0,5.0,0.1009974479675293,0.02
0,1.0,5.0,0.10550928115844727,0.08
0,1.0,5.0,0.10897469520568848,0.01
0,1.0,5.0,0.11324477195739746,-0.02
0,1.0,5.0,0.11748623847961426,0.0
0,1.0,5.0,0.12101435661315918,0.04
0,1.0,5.0,0.1251208782196045,0.07
0,1.0,5.0,0.12897515296936035,0.04
0,1.0,5.0,0.13353180885314941,0.04
0,1.0,5.0,0.13754963874816895,0.03
0,1.0,5.0,0.14107632637023926,-0.03
0,1.0,5.0,0.1454927921295166,-0.01
0,1.0,5.0,0.14900708198547363,-0.05
0,1.0,5.0,0.1527881622314453,-0.12
0,1.0,5.0,0.15696001052856445,-0.01
0,1.0,5.0,0.16100120544433594,0.0
0,1.0,5.0,0.16510009765625,-0.04
0,1.0,5.0,0.16939496994018555,0.09
0,1.0,5.0,0.1747126579284668,-0.02
0,1.0,5.0,0.1791393756866455,-0.09
0,1.0,5.0,0.1831810474395752,0.1
0,1.0,5.0,0.1872406005859375,0.08
0,1.0,5.0,0.19158482551574707,0.05
0,1.0,5.0,0.19608688354492188,0.0
0,1.0,5.0,0.2005765438079834,0.0
0,1.0,5.0,0.20520544052124023,-0.11
0,1.0,5.0,0.2096693515777588,-0.06
0,1.0,5.0,0.21420645713806152,0.0
0,1.0,5.0,0.21821069717407227,0.01
0,1.0,5.0,0.22263598442077637,0.01
0,1.0,5.0,0.22713351249694824,-0.05
0,1.0,5.0,0.23156404495239258,-0.01
0,1.0,5.0,0.23505210876464844,-0.04
0,1.0,5.0,0.23912405967712402,-0.02
0,1.0,5.0,0.24356460571289062,-0.09
0,1.0,5.0,0.24854254722595215,-0.01
0,1.0,5.0,0.25199031829833984,-0.15
0,1.0,5.0,0.255826473236084,0.0
0,1.0,5.0,0.260026216506958,-0.05
0,1.0,5.0,0.26405811309814453,0.14
0,1.0,5.0,0.26814723014831543,0.05
0,1.0,5.0,0.27217841148376465,-0.05
0,1.0,5.0,0.27611732482910156,0.07
0,1.0,5.0,0.2800929546356201,-0.01
0,1.0,5.0,0.2841949462890625,0.04
0,1.0,5.0,0.2881298065185547,0.06
0,1.0,5.0,0.2921485900878906,-0.09
0,1.0,5.0,0.29628491401672363,-0.03
0,1.0,5.0,0.3005962371826172,-0.04
0,1.0,5.0,0.30559635162353516,-0.06
0,1.0,5.0,0.3102254867553711,-0.12
0,1.0,5.0,0.31418704986572266,0.1
0,1.0,5.0,0.3180418014526367,0.11
0,1.0,5.0,0.32210564613342285,-0.01
0,1.0,5.0,0.3260922431945801,0.03
0,1.0,5.0,0.3300464153289795,-0.01
0,1.0,5.0,0.3341102600097656,0.07
0,1.0,5.0,0.33806777000427246,-0.02
0,1.0,5.0,0.34223389625549316,0.02
0,1.0,5.0,0.34656333923339844,-0.02
0,1.0,5.0,0.35149550437927246,-0.03
0,1.0,5.0,0.3549056053161621,0.04
0,1.0,5.0,0.35897040367126465,0.01
0,1.0,5.0,0.36310529708862305,-0.11
0,1.0,5.0,0.36711859703063965,0.03
0,1.0,5.0,0.37143898010253906,-0.02
0,1.0,5.0,0.37519335746765137,-0.05
0,1.0,5.0,0.3789951801300049,0.09
0,1.0,5.0,0.38354945182800293,-0.1
0,1.0,5.0,0.38761067390441895,-0.05
0,1.0,5.0,0.39250779151916504,0.0
0,1.0,5.0,0.3962578773498535,0.01
0,1.0,5.0,0.40018200874328613,-0.04
0,1.0,5.0,0.40411949157714844,-0.01
0,1.0,5.0,0.40817952156066895,-0.03
0,1.0,5.0,0.41257357597351074,0.15
0,1.0,5.0,0.4175286293029785,-0.01
0,1.0,5.0,0.4215116500854492,0.0
0,1.0,5.0,0.42522573471069336,0.01
